id,displayName,formattedAddress,rating,servesBeer,servesWine,servesCocktails,goodForChildren,goodForGroups,reservable,outdoorSeating,liveMusic,servesDessert,priceLevel,paymentOptions,acceptsCreditCards,acceptsDebitCards,acceptsCashOnly,acceptsNfc,Type
ChIJsU2nQ7QxMTAR0vFGTaSNfX0,Omma Recipe,"Jl. Semarang No.92, Ps. Baru, Kec. Medan Kota, Kota Medan, Sumatera Utara 20212, Indonesia","4,4",True,False,False,True,True,True,True,False,unknown,PRICE_LEVEL_MODERATE,{'acceptsCashOnly': True},unknown,unknown,True,unknown,korean_restaurant
ChIJf2LAILYxMTARVyKglq2SE3I,Patbingsoo Korean Dessert House,"Komplek Multatuli Blok FF No. 32-33, Hamdan, Kec. Medan Maimun, Kota Medan, Sumatera Utara 20151, Indonesia","4,3",unknown,unknown,unknown,True,True,True,False,False,True,PRICE_LEVEL_MODERATE,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False}",True,True,False,unknown,korean_restaurant
ChIJkSkwZRwvMTARBJyTmbVtO-A,Gapyeong Korean BBQ,"Jl. Setia Budi Kel No.10 C, Tj. Rejo, Kec. Medan Sunggal, Kota Medan, Sumatera Utara 20119, Indonesia","4,5",False,False,False,True,True,True,False,False,True,PRICE_LEVEL_MODERATE,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False}",True,True,False,unknown,korean_restaurant
ChIJlect_p4xMTARhx1-j_I36LA,Magal Korean BBQ Cambridge City Square,"Cambridge City Square, Lantai G (Dasar, Petisah Tengah, Medan Petisah, Medan City, North Sumatra, Indonesia","4,2",unknown,unknown,unknown,True,True,True,False,False,True,unknown,"{'acceptsCreditCards': True, 'acceptsCashOnly': False}",True,unknown,False,unknown,korean_restaurant
ChIJWzMyE-YxMTARG6v4njSJeWc,Jinjja Chicken,"Jl. Cut Mutia No.1, Madras Hulu, Kec. Medan Polonia, Kota Medan, Sumatera Utara 20151, Indonesia","4,3",unknown,unknown,unknown,True,True,True,False,False,True,unknown,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False}",True,True,False,unknown,korean_restaurant
ChIJhd53xHUvMTARA-lGvtXKXWI,JjangJjang Bunsik,"Jl. Sampul Residence no A9, Sei Putih Bar., Kec. Medan Petisah, Kota Medan, Sumatera Utara 20118, Indonesia","5,",False,False,False,True,True,True,unknown,unknown,unknown,unknown,"{'acceptsCreditCards': True, 'acceptsCashOnly': False}",True,unknown,False,unknown,korean_restaurant
ChIJ1Ux-K74xMTARqDTawE4TBGg,Jinjja Chicken,"Centre Point 2nd Floor 04, Gang Buntu, Medan Timur, Medan City, North Sumatra 20232, Indonesia","4,1",False,False,False,True,True,True,unknown,False,unknown,unknown,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,False,True,korean_restaurant
ChIJLcYISH8zMTAR5M3LdTOivnw,Se Jong Korean Food Restaurant,"Komplek Cemara Asri, Jl. Boulevard Timur No.105, Medan Estate, Kec. Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara 20221, Indonesia","4,8",unknown,unknown,unknown,True,True,True,unknown,False,unknown,unknown,{},unknown,unknown,unknown,unknown,korean_restaurant
ChIJPak-byAxMTAR4Y3WovQcDDE,Lebanon Restaurant,"Petisah Tengah, Medan Petisah, Medan City, North Sumatra, Indonesia","4,4",False,False,False,True,True,True,unknown,unknown,True,unknown,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False}",True,True,False,unknown, lebanese_restaurant
ChIJJ8aMMeYxMTARiRZXV-F5XYk,Eatsy Kitchen Healthy Catering Medan,"Komplek Kejaksaan, Jl. Stella I No.28, Simpang Selayang, Kec. Medan Tuntungan, Kota Medan, Sumatera Utara 20135, Indonesia","5,",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,{},unknown,unknown,unknown,unknown,meal_delivery
ChIJf0rJvK4xMTAR3yCU8jiOSQg,CATERING LESSSALT MEDAN,"Jl. Aipda KS Tubun No.2, Pandau Hulu I, Kec. Medan Kota, Kota Medan, Sumatera Utara 20211, Indonesia","4,9",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,{},unknown,unknown,unknown,unknown,meal_delivery
ChIJX_9JeGUxMTAR3XOzyjT_esY,Catering bulanan Simple Food,"Dibelakang komp. MMTC pancing, Jl. Selamat Ketaren Jl. Teratai Dalam, Kenangan Baru, Kec. Percut Sei Tuan, Kota Medan, Sumatera Utara 20371, Indonesia","5,",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,{},unknown,unknown,unknown,unknown,meal_delivery
ChIJS6U6gskxMTARct5fEo3hbbM,Tip Top Restaurant,"Jl. Jend. Ahmad Yani No.92 A-B, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20212, Indonesia","4,4",True,False,True,True,True,True,True,True,True,PRICE_LEVEL_MODERATE,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,False,True,meal_delivery
ChIJvxQaTlQxMTARQDKbrAe-K4E,Rantangan Medan,"Jalan Letda Sujono, Gg. Bali Dalam No.2, Bandar Selamat, Kec. Medan Tembung, Kota Medan, Sumatera Utara 20223, Indonesia","5,",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,{},unknown,unknown,unknown,unknown,meal_delivery
ChIJ0W02qUQwMTARTBRl6X0ucmY,KFC,"Jl. Sisingamangaraja Kelurahan No.41, Sitirejo III, Kec. Medan Kota, Kota Medan, Sumatera Utara 20216, Indonesia","4,4",False,False,unknown,True,True,unknown,True,unknown,True,PRICE_LEVEL_MODERATE,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,False,True,meal_delivery
ChIJS1m-AVUwMTARfnvQ15LtTJg,Rumah Blepots,"Jl. Medan Area Selatan No.66, Sukaramai I, Kec. Medan Area, Kota Medan, Sumatera Utara 20227, Indonesia","4,5",False,False,False,True,True,True,True,False,True,PRICE_LEVEL_MODERATE,{'acceptsCashOnly': True},unknown,unknown,True,unknown,meal_delivery
ChIJRbTzoEgxMTARLeTU_hKzZIU,Sushi Mentai,"Jl. DR. Cipto No.2, Anggrung, Kec. Medan Polonia, Kota Medan, Sumatera Utara 20152, Indonesia","4,6",False,False,False,True,True,True,False,False,True,PRICE_LEVEL_MODERATE,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,False,True,meal_delivery
ChIJEfwsALAxMTARJnaJpYPiMXs,Niang Mama,"Jl. Pekanbaru No.28, Pandau Hulu I, Kec. Medan Kota, Kota Medan, Sumatera Utara 20211, Indonesia","4,5",False,False,False,True,True,True,True,False,True,unknown,{'acceptsCashOnly': True},unknown,unknown,True,unknown,meal_delivery
ChIJV3-mOgAvMTARyVerHt9ohp4,Moms catering medan,"Jl. Danau Singkarak, Sei Agul, Kec. Medan Bar., Kota Medan, Sumatera Utara 20127, Indonesia","5,",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,{},unknown,unknown,unknown,unknown,meal_delivery
ChIJMxj5cTYwMTARCsQAHovw7Xg,Sawasdee Thai Restaurant,"Jl. Multatuli Raya, Blok-FF No.36-37, Hamdan, Kec. Medan Maimun, Kota Medan, Sumatera Utara 20151, Indonesia","4,5",False,False,False,True,True,True,False,False,True,PRICE_LEVEL_EXPENSIVE,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,False,True,meal_delivery
ChIJsazVbdsxMTARtF_wG04576Q,Restoran Garuda - Adam Malik,"Jl. H. Adam Malik D/H Glugur ByPass No.14, Silalas, Kec. Medan Bar., Kota Medan, Sumatera Utara 20114, Indonesia","4,5",False,False,False,True,True,True,False,False,True,PRICE_LEVEL_MODERATE,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,False,True,meal_delivery
ChIJD5thHMoxMTARGOXD_1kDLew,Garuda Restaurant,"Jl. Palang Merah No.26A, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20151, Indonesia","4,5",False,False,False,True,True,True,False,False,True,PRICE_LEVEL_MODERATE,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,False,True,meal_delivery
ChIJgXqWX8gxMTARH-xlKNLRd3c,Jajananmedan,"Jl. Gandhi No.79, Sei Rengas I, Kec. Medan Kota, Kota Medan, Sumatera Utara 20214, Indonesia","5,",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,{},unknown,unknown,unknown,unknown,meal_delivery
